x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
2881,2025/07/07,00:00-00:03,Mon,33.9,30.9,54,66,542,415,0.006,0,0.012,0.012,0.012,0.012
2882,2025/07/07,00:03-00:06,Mon,33.9,30.8,54,66,540,414,0.012,0,0.012,0.006,0.012,0.006
2883,2025/07/07,00:06-00:09,Mon,33.9,30.9,54,66,538,411,0.012,0,0.012,0.006,0.012,0.012
2884,2025/07/07,00:09-00:12,Mon,33.9,30.9,54,66,537,408,0.012,0.006,0.012,0.006,0.012,0.012
2885,2025/07/07,00:12-00:15,Mon,33.9,30.9,54,66,536,409,0.012,0.006,0.012,0.012,0.012,0.006
2886,2025/07/07,00:15-00:18,Mon,33.9,30.9,54,66,543,412,0.012,0.006,0.012,0.012,0.012,0.006
2887,2025/07/07,00:18-00:21,Mon,33.9,30.9,54,66,533,413,0.012,0,0.012,0.012,0.012,0.012
2888,2025/07/07,00:21-00:24,Mon,33.8,30.9,54,66,539,417,0.006,0,0.012,0.006,0.012,0.012
2889,2025/07/07,00:24-00:27,Mon,33.8,30.9,54,66,539,412,0.012,0,0.012,0.012,0.012,0.006
2890,2025/07/07,00:27-00:30,Mon,33.8,30.8,54,66,537,412,0.012,0.006,0.012,0.012,0.012,0.012
2891,2025/07/07,00:30-00:33,Mon,33.8,30.9,54,66,534,414,0.012,0.006,0.012,0.012,0.012,0.012
2892,2025/07/07,00:33-00:36,Mon,33.8,30.9,54,66,534,414,0.012,0.006,0.012,0.006,0.012,0.006
2893,2025/07/07,00:36-00:39,Mon,33.8,30.9,54,66,533,410,0.012,0.006,0.012,0.006,0.012,0.012
2894,2025/07/07,00:39-00:42,Mon,33.8,30.9,54,66,533,414,0.012,0,0.012,0.012,0.012,0.012
2895,2025/07/07,00:42-00:45,Mon,33.7,30.8,54,66,533,410,0.006,0,0.012,0.012,0.012,0.006
2896,2025/07/07,00:45-00:48,Mon,33.8,30.8,54,66,532,414,0.012,0.006,0.012,0.006,0.012,0.012
2897,2025/07/07,00:48-00:51,Mon,33.7,30.8,54,66,537,418,0.012,0.006,0.018,0.006,0.012,0.012
2898,2025/07/07,00:51-00:54,Mon,33.7,30.9,54,66,535,414,0.012,0.006,0.012,0.012,0.012,0.012
2899,2025/07/07,00:54-00:57,Mon,33.7,30.8,54,66,533,419,0.012,0.006,0.012,0.012,0.006,0.006
2900,2025/07/07,00:57-01:00,Mon,33.7,30.8,54,66,528,416,0.012,0,0.012,0.012,0.012,0.012
2901,2025/07/07,01:00-01:03,Mon,33.7,30.8,54,66,524,417,0.012,0,0.012,0.006,0.012,0.012
2902,2025/07/07,01:03-01:06,Mon,33.7,30.8,54,66,522,417,0.006,0,0.012,0.012,0.012,0.006
